A;008;20030501 12:36;PBARBER;
B;008;238129;75;20030501 12:37;;;26;MAITLAND RD;MAYFIELD;2304;445.2;M;20030306;20030408;150000;B;3;WORKSHOP;;CM;;;9528502;
C;008;238129;75;20030501 12:37;1//794737;
D;008;238129;75;20030501 12:37;P;;;;;;
D;008;238129;75;20030501 12:37;V;;;;;;
B;008;239544;76;20030501 12:37;;11;11;MAY ST;MAYFIELD;2304;;;20030228;20030407;201000;;R;RESIDENCE;11;;;;9533693;
C;008;239544;76;20030501 12:37;11//SP 47453;
D;008;239544;76;20030501 12:37;P;;;;;;
D;008;239544;76;20030501 12:37;P;;;;;;
D;008;239544;76;20030501 12:37;P;;;;;;
D;008;239544;76;20030501 12:37;V;;;;;;
B;008;239666;77;20030501 12:37;;;6;MELISSA AVE;ADAMSTOWN HEIGHTS;2289;556.4;M;20030211;20030318;389950;A;R;RESIDENCE;;HA;;;9515118;
C;008;239666;77;20030501 12:37;72//240274;
D;008;239666;77;20030501 12:37;P;;;;;;
D;008;239666;77;20030501 12:37;V;;;;;;
B;008;239955;78;20030501 12:37;;5;35;MEREWETHER ST;MEREWETHER;2291;;;20030404;20030404;220000;;R;RESIDENCE;5;;;;9527056;
C;008;239955;78;20030501 12:37;5//SP 18180;
D;008;239955;78;20030501 12:37;P;;;;;;
D;008;239955;78;20030501 12:37;V;;;;;;
B;008;240522;79;20030501 12:37;;;;MINMI RD;WALLSEND;2287;673.8;M;20030211;20030326;189950;A;R;RESIDENCE;;AB;;;9515028;
C;008;240522;79;20030501 12:37;1//780731;
D;008;240522;79;20030501 12:37;P;;;;;;
D;008;240522;79;20030501 12:37;V;;;;;;
D;008;240522;79;20030501 12:37;V;;;;;;
B;008;240569;80;20030501 12:37;;;295;MINMI RD;FLETCHER;2287;678.9;M;20030221;20030328;314950;A;R;RESIDENCE;;AP;;;9536490;
C;008;240569;80;20030501 12:37;210//882142;
D;008;240569;80;20030501 12:37;P;;;;;;
D;008;240569;80;20030501 12:37;P;;;;;;
