A;003;20020102 13:56;PTHIRLWELL;
C;003;32970;58;20020102 13:56;59//831907;
D;003;32970;58;20020102 13:56;P;;;;;;
D;003;32970;58;20020102 13:56;P;;;;;;
D;003;32970;58;20020102 13:56;V;;;;;;
D;003;32970;58;20020102 13:56;V;;;;;;
B;003;32992;59;20020102 13:56;;;36;BLUEBELL DR;WAMBERAL;2260;607;M;20011015;20011116;230000;A;R;RESIDENCE;;GT;AC;;8160736;
C;003;32992;59;20020102 13:56;18//29639;
D;003;32992;59;20020102 13:56;P;;;;;;
D;003;32992;59;20020102 13:56;V;;;;;;
B;003;33032;60;20020102 13:56;;;109;BLUEBELL DR;WAMBERAL;2260;663.9;M;20010917;20011109;290000;A;R;RESIDENCE;;GT;AC;;8170202;
C;003;33032;60;20020102 13:56;178//30360;
D;003;33032;60;20020102 13:56;P;;;;;;
D;003;33032;60;20020102 13:56;P;;;;;;
D;003;33032;60;20020102 13:56;V;;;;;;
D;003;33032;60;20020102 13:56;V;;;;;;
B;003;33652;61;20020102 13:56;;;146;BOOKER BAY RD;BOOKER BAY;2257;891.6;M;20010507;20010827;1040000;A;R;RESIDENCE;;WU;AC;;8061230;
C;003;33652;61;20020102 13:56;101//7061 Licence 333218 LEASE AJOINING PROPERTY;
D;003;33652;61;20020102 13:56;P;;;;;;
D;003;33652;61;20020102 13:56;V;;;;;;
B;003;33666;62;20020102 13:56;;1;108;BOOKER BAY RD;BOOKER BAY;2257;;;20011214;20011214;242500;;R;RESIDENCE;1;;;;8214253;
C;003;33666;62;20020102 13:56;1//31038;
D;003;33666;62;20020102 13:56;P;;;;;;
D;003;33666;62;20020102 13:56;V;;;;;;
D;003;33666;62;20020102 13:56;V;;;;;;
B;003;33730;63;20020102 13:56;;;13;BOONGALA AVE;EMPIRE BAY;2257;695.6;M;20010906;20011129;219000;A;R;RESIDENCE;;FL;;;8200441;
C;003;33730;63;20020102 13:56;8//11675;
D;003;33730;63;20020102 13:56;P;;;;;;
D;003;33730;63;20020102 13:56;P;;;;;;
D;003;33730;63;20020102 13:56;V;;;;;;
B;003;33878;64;20020102 13:56;;;40;BORONIA AVE;WOY WOY;2256;556.4;M;20011024;20011205;199000;A;R;RESIDENCE;;FU;AC;;8191348;
C;003;33878;64;20020102 13:56;7/F/13328;
D;003;33878;64;20020102 13:56;P;;;;;;
D;003;33878;64;20020102 13:56;P;;;;;;
D;003;33878;64;20020102 13:56;V;;;;;;
B;003;34188;65;20020102 13:56;;;50;BOURKE AVE;YATTALUNGA;2251;575.4;M;20011004;20011203;260500;A;R;RESIDENCE;;FH;AC;;8179552;
C;003;34188;65;20020102 13:56;77//22678;
D;003;34188;65;20020102 13:56;P;;;;;;
D;003;34188;65;20020102 13:56;P;;;;;;
D;003;34188;65;20020102 13:56;P;;;;;;
D;003;34188;65;20020102 13:56;V;;;;;;
D;003;34188;65;20020102 13:56;V;;;;;;
B;003;34269;66;20020102 13:56;;;80;BOURKE RD;UMINA;2257;518.5;M;20011019;20011119;212000;A;R;RESIDENCE;;MA;;;8206312;
C;003;34269;66;20020102 13:56;8/N/9391;
D;003;34269;66;20020102 13:56;P;;;;;;
D;003;34269;66;20020102 13:56;P;;;;;;
D;003;34269;66;20020102 13:56;V;;;;;;
D;003;34269;66;20020102 13:56;V;;;;;;
B;003;34276;67;20020102 13:56;;;66;BOURKE RD;UMINA;2257;518.5;M;20011012;20011123;230000;A;3;HOUSE TOWNHOU;;MA;AC;;8158486;
C;003;34276;67;20020102 13:56;15/N/9391;
D;003;34276;67;20020102 13:56;P;;;;;;
D;003;34276;67;20020102 13:56;P;;;;;;
D;003;34276;67;20020102 13:56;V;;;;;;
D;003;34276;67;20020102 13:56;V;;;;;;
B;003;34288;68;20020102 13:56;;;105;BOURKE RD;UMINA;2257;676.6;M;20011004;20011115;210000;A;R;RESIDENCE;;MA;AC;;8176696;
C;003;34288;68;20020102 13:56;33/8/19850;
D;003;34288;68;20020102 13:56;P;;;;;;
D;003;34288;68;20020102 13:56;P;;;;;;
D;003;34288;68;20020102 13:56;P;;;;;;
D;003;34288;68;20020102 13:56;P;;;;;;
