A;004;20020617 11:49;PDANN;
B;004;127445;66;20020617 11:49;;;16;CORDEN ST;EDGEWORTH;2285;385.7;M;20020402;20020424;134950;A;R;RESIDENCE;;CQ;;;8655654;
C;004;127445;66;20020617 11:49;3//533375;
D;004;127445;66;20020617 11:49;P;;;;;;
D;004;127445;66;20020617 11:49;P;;;;;;
D;004;127445;66;20020617 11:49;V;;;;;;
D;004;127445;66;20020617 11:49;V;;;;;;
B;004;127870;67;20020617 11:49;;;59;FLETCHER ST;EDGEWORTH;2285;550.1;M;20020411;20020517;135000;A;R;RESIDENCE;;CQ;;;8642332;
C;004;127870;67;20020617 11:49;172//529609;
D;004;127870;67;20020617 11:49;P;;;;;;
D;004;127870;67;20020617 11:49;V;;;;;;
B;004;128119;68;20020617 11:49;;;42;HARPER AVE;EDGEWORTH;2285;618.5;M;20020513;20020524;40000;A;R;RESIDENCE;;CP;;;8654524;
C;004;128119;68;20020617 11:49;70//260514;
D;004;128119;68;20020617 11:49;P;;;;;;
D;004;128119;68;20020617 11:49;V;;;;;;
D;004;128119;68;20020617 11:49;V;;;;;;
B;004;128179;69;20020617 11:49;;;;HARRIS ST;CAMERON PARK;2285;720.9;M;20020419;20020524;265000;A;R;RESIDENCE;;CP;;;8652761;
C;004;128179;69;20020617 11:49;400//840730;
D;004;128179;69;20020617 11:49;P;;;;;;
D;004;128179;69;20020617 11:49;V;;;;;;
D;004;128179;69;20020617 11:49;V;;;;;;
B;004;128645;70;20020617 11:49;;;49;MINMI RD;CAMERON PARK;2285;;;20020218;20020409;161500;A;R;RESIDENCE;;CQ;;;8659967;
C;004;128645;70;20020617 11:49;13A//12662;
D;004;128645;70;20020617 11:49;P;;;;;;
D;004;128645;70;20020617 11:49;V;;;;;;
B;004;128675;71;20020617 11:49;;;56;MINMI RD;CAMERON PARK;2285;592.2;M;20020501;20020531;215000;A;R;RESIDENCE;;CP;;;8657152;
C;004;128675;71;20020617 11:49;9//804232;
D;004;128675;71;20020617 11:49;P;;;;;;
D;004;128675;71;20020617 11:49;P;;;;;;
D;004;128675;71;20020617 11:49;V;;;;;;
D;004;128675;71;20020617 11:49;V;;;;;;
B;004;128886;72;20020617 11:49;;;25;NEILSON ST;EDGEWORTH;2285;455.3;M;20020412;20020517;165000;A;R;RESIDENCE;;CQ;;;8652639;
C;004;128886;72;20020617 11:49;6//23033;
D;004;128886;72;20020617 11:49;P;;;;;;
D;004;128886;72;20020617 11:49;V;;;;;;
B;004;129027;73;20020617 11:49;;;6;OAKVILLE RD;EDGEWORTH;2285;449.8;M;20020404;20020516;134000;A;R;RESIDENCE;;CP;;;8641999;
